C:\Users\Admin\Desktop\CNAP\dan\AA19_metal_stability_310125_Admin, SYBR Green, 01-31-2025, 17Hr 10Min.mxp
Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
 1	P	 1	 5	SypO2	  1	     1745	24.8
 1	P	 1	 5	SypO2	  1	     1747	24.8
 1	P	 1	 5	SypO2	  1	     1745	24.8
 1	P	 1	 5	SypO2	  2	     1749	25.6
 1	P	 1	 5	SypO2	  2	     1748	25.6
 1	P	 1	 5	SypO2	  2	     1744	25.6
 1	P	 1	 5	SypO2	  3	     1746	26.8
 1	P	 1	 5	SypO2	  3	     1746	26.8
 1	P	 1	 5	SypO2	  3	     1747	26.8
 1	P	 1	 5	SypO2	  4	     1745	27.8
 1	P	 1	 5	SypO2	  4	     1746	28.0
 1	P	 1	 5	SypO2	  4	     1742	28.0
 1	P	 1	 5	SypO2	  5	     1743	28.8
 1	P	 1	 5	SypO2	  5	     1748	28.8
 1	P	 1	 5	SypO2	  5	     1742	28.8
 1	P	 1	 5	SypO2	  6	     1744	29.8
 1	P	 1	 5	SypO2	  6	     1741	29.8
 1	P	 1	 5	SypO2	  6	     1743	29.8
 1	P	 1	 5	SypO2	  7	     1741	30.8
 1	P	 1	 5	SypO2	  7	     1741	31.0
 1	P	 1	 5	SypO2	  7	     1742	30.8
 1	P	 1	 5	SypO2	  8	     1742	32.0
 1	P	 1	 5	SypO2	  8	     1743	31.8
 1	P	 1	 5	SypO2	  8	     1741	31.8
 1	P	 1	 5	SypO2	  9	     1742	32.8
 1	P	 1	 5	SypO2	  9	     1741	32.8
 1	P	 1	 5	SypO2	  9	     1741	32.8
 1	P	 1	 5	SypO2	 10	     1744	33.8
 1	P	 1	 5	SypO2	 10	     1738	33.8
 1	P	 1	 5	SypO2	 10	     1740	33.8
 1	P	 1	 5	SypO2	 11	     1740	34.7
 1	P	 1	 5	SypO2	 11	     1738	34.8
 1	P	 1	 5	SypO2	 11	     1739	34.7
 1	P	 1	 5	SypO2	 12	     1740	35.7
 1	P	 1	 5	SypO2	 12	     1739	35.8
 1	P	 1	 5	SypO2	 12	     1740	35.7
 1	P	 1	 5	SypO2	 13	     1741	36.8
 1	P	 1	 5	SypO2	 13	     1741	36.8
 1	P	 1	 5	SypO2	 13	     1740	36.7
 1	P	 1	 5	SypO2	 14	     1738	37.7
 1	P	 1	 5	SypO2	 14	     1737	37.8
 1	P	 1	 5	SypO2	 14	     1739	37.8
 1	P	 1	 5	SypO2	 15	     1735	38.8
 1	P	 1	 5	SypO2	 15	     1737	38.8
 1	P	 1	 5	SypO2	 15	     1740	38.7
 1	P	 1	 5	SypO2	 16	     1740	39.8
 1	P	 1	 5	SypO2	 16	     1739	39.7
 1	P	 1	 5	SypO2	 16	     1739	39.7
 1	P	 1	 5	SypO2	 17	     1741	40.8
 1	P	 1	 5	SypO2	 17	     1738	40.8
 1	P	 1	 5	SypO2	 17	     1737	40.8
 1	P	 1	 5	SypO2	 18	     1738	41.7
 1	P	 1	 5	SypO2	 18	     1741	41.7
 1	P	 1	 5	SypO2	 18	     1736	41.7
 1	P	 1	 5	SypO2	 19	     1740	42.7
 1	P	 1	 5	SypO2	 19	     1739	42.7
 1	P	 1	 5	SypO2	 19	     1740	42.7
 1	P	 1	 5	SypO2	 20	     1741	43.7
